1.000000000000000056e-01 5.040813752765787470e+00
1.125794537613787200e-01 4.462524006780176578e+00
1.267413340921040854e-01 3.988302611190424507e+00
1.426847016107748167e-01 3.529744723996932176e+00
1.606336576744634981e-01 3.160349191200272134e+00
1.808404943668339704e-01 2.803344026801830591e+00
2.035892407375585189e-01 2.474035098401850430e+00
2.291996551392817272e-01 2.192821837601420132e+00
2.580317197787671546e-01 1.956695243600830469e+00
2.904907006580275119e-01 1.740269930400340170e+00
3.270328440284091531e-01 1.536468642400073525e+00
3.681717894274846303e-01 1.370650616399970101e+00
4.144857894409555987e-01 1.217720137199960417e+00
4.666258376711662215e-01 1.081144332400013175e+00
5.253248191596566752e-01 9.571440012000751452e-01
5.914078118828921538e-01 8.547639572001196617e-01
6.658036841198822220e-01 7.594050132001450848e-01
7.495581507052988535e-01 6.718427196001472979e-01
8.438484716879173231e-01 6.009285956001362283e-01
9.499999999999999556e-01 5.362408784001200246e-01
