1.000000000000000021e-02 1.394222929940698075e+00
1.188888888888888773e-01 8.892983881803488977e-01
2.277777777777777735e-01 8.419270996201332347e-01
3.366666666666666696e-01 8.483329152200285161e-01
4.455555555555555380e-01 9.084106685800027448e-01
5.544444444444444065e-01 1.034573718880049675e+00
6.633333333333333304e-01 1.273513007020325549e+00
7.722222222222221433e-01 1.738387130361212396e+00
8.811111111111110672e-01 2.609490329461518598e+00
9.899999999999999911e-01 1.508017248740422644e+00
0.992 0.669411633
